city_name,departure_count,arrival_count,Latitude,Longitude
"Charlotte, North Carolina",23593383,23663184,35.2083,-80.8303
"Charlottesville, Virginia",308075,307249,38.0375,-78.4855
"Chattanooga, Tennessee",487862,480540,35.066,-85.2481
"Chefornak, Alaska",2916,2909,60.13824329,-164.2792005
"Chenega, Alaska",521,527,60.07883456,-147.9945494
"Cherry Point, North Carolina",567,1239,34.91575611,-76.89962046
"Chevak, Alaska",4719,4754,61.5380538,-165.6045523
"Cheyenne, Wyoming",13000,12982,41.135,-104.7902
"Chicago, Illinois",39398585,39539152,41.8375,-87.6866
"Chicopee Falls, Massachusetts",432,343,42.162,-72.6162
"Chignik, Alaska",208,210,56.3114,-158.3738
"Chuathbaluk, Alaska",184,211,61.580336,-159.2247778
"Cincinnati, Ohio",4182903,4191772,39.1413,-84.506
"Circle, Alaska",247,231,65.84214806,-144.0816648
"Clarks Point, Alaska",402,482,58.83664702,-158.5277152
"Clarksburg/Fairmont, West Virginia",42722,42581,39.2862,-80.3232
"Cleveland, Ohio",4684706,4680174,41.4764,-81.6805
"Clovis, New Mexico",13623,13265,34.4376,-103.1923
"Cody, Wyoming",34709,36543,44.5213,-109.0548
"Cold Bay, Alaska",2995,3023,55.20772652,-162.7224913
"Coldfoot, Alaska",5634,6569,67.2523,-150.2067
"College Station/Bryan, Texas",60068,57996,30.5852,-96.2959
"Colorado Springs, Colorado",1184723,1169475,38.8674,-104.7605
"Columbia, Missouri",97622,97549,38.9472,-92.3268
"Columbia, South Carolina",591967,606163,34.0378,-80.9036
"Columbus, Georgia",65679,59413,32.51,-84.8771
"Columbus, Mississippi",42503,41916,33.5088,-88.4096
"Columbus, Ohio",4207521,4233804,39.9862,-82.9855
"Concord, California",16997,17246,37.9722,-122.0016
"Concord, North Carolina",118989,116904,35.3933,-80.6369
"Cordova, Alaska",18260,17989,60.543784,-145.7259942
"Corpus Christi, Texas",352099,345533,27.7254,-97.3767
"Cortez, Colorado",8925,8586,37.3503,-108.5768
"Crescent City, California",7875,7465,41.77476844,-124.237113
"Crooked Creek, Alaska",221,218,61.86789745,-158.1343685
"Dahl Creek, Alaska",182,229,66.94315172,-156.8989944
"Dallas/Fort Worth, Texas",42273175,42344234,32.7935,-96.7667
"Danger Bay, Alaska",388,382,57.79416248,-152.3936869
"Dayton, Ohio",594019,598379,39.7805,-84.2003
"Daytona Beach, Florida",348034,343758,29.1995,-81.0982
"Deadhorse, Alaska",82350,83296,70.1948,-148.4647
"Decatur, Illinois",11207,10905,39.8557,-88.9342
"Deer Harbor, Washington",789,846,48.68464948,-123.0701301
"Deering, Alaska",1322,1334,66.06930665,-162.7663598
"Del Rio, Texas",5320,4992,29.3708,-100.8801
"Delta Junction, Alaska",113,102,42.82910844,-103.0968862
"Denver, Colorado",35878402,35914103,39.762,-104.8758
"Des Moines, Iowa",1518557,1524368,41.5725,-93.6105
"Destin, Florida",5141,5256,30.395,-86.4701
"Detroit, Michigan",13811358,13841537,42.3834,-83.1024
"Devils Lake, North Dakota",8051,7885,48.109202,-98.90401445
"Dickinson, North Dakota",24057,24913,46.8918,-102.7925
"Dillingham, Alaska",34495,34518,59.0454,-158.5055
"Diomede Island, Alaska",166,208,65.6318501,-168.0923761
"Dodge City, Kansas",6432,6303,37.7611,-100.0182
"Dothan, Alabama",35626,35254,31.2336,-85.407
"DuBois, Pennsylvania",5567,5054,41.1783,-78.8987
"Dubuque, Iowa",16469,16489,42.5002,-90.707
"Duluth, Minnesota",127822,123976,46.7756,-92.1393
"Durango, Colorado",217344,216034,37.2659,-107.8781
"Eagle, Alaska",579,595,39.64248377,-106.9169133
"Eagle, Colorado",226791,227299,39.64250855,-106.9169347
"East Farmingdale, New York",2143,2054,40.7287,-73.4134
"East Hampton, New York",1952,2427,41.0117,-72.1277
"Eastsound, Washington",7827,7489,48.7081,-122.9107
"Eau Claire, Wisconsin",25856,24938,44.8197,-91.4948
"Eek, Alaska",2812,2654,60.21515233,-162.0444342
"Egegik, Alaska",778,801,58.18466593,-157.3719985
"Ekwok, Alaska",523,540,59.3536056,-157.4764774
"El Centro, California",7094,5096,32.7865,-115.5595
"El Dorado, Arkansas",3144,3060,33.2184,-92.664
"El Paso, Texas",1997799,1850916,31.8476,-106.43
"Elfin Cove, Alaska",412,341,58.1944,-136.3436
"Elim, Alaska",2008,2059,64.6162664,-162.2694889
"Elko, Nevada",10715,10300,40.8381,-115.7678
"Elmira/Corning, New York",85017,84736,42.0938,-76.8097
"Emmonak, Alaska",9804,9837,62.78061222,-164.4899217
"Erie, Pennsylvania",47160,46532,42.1167,-80.0733
"Escanaba, Michigan",15657,14333,45.7477,-87.09
"Eugene, Oregon",841916,843188,44.0564,-123.1174
"Evansville, Indiana",165183,166142,37.9881,-87.5341
"Everett, Washington",306301,297274,47.9525,-122.1669
"Fairbanks, Alaska",546639,547452,64.8353,-147.6533
"Fargo, North Dakota",520532,520397,46.8651,-96.8292
"Fayetteville, Arkansas",973894,974212,36.0714,-94.1661
"Fayetteville, North Carolina",168553,163573,35.085,-78.9772
"Fishers Island, New York",172,186,41.2637,-72.0307
"Flagstaff, Arizona",73953,73182,35.1872,-111.6194
"Flint, Michigan",281878,281338,43.0236,-83.6921
"Florence, South Carolina",22728,20927,34.178,-79.7898
"Fort Collins/Loveland, Colorado",3098,3394,40.5477,-105.0656
"Fort Dodge, Iowa",6195,6145,42.5098,-94.1751
"Fort Drum, New York",257,449,44.045,-75.7845
"Fort Jefferson, Florida",20408,20470,24.71106983,-82.86222087
"Fort Lauderdale, Florida",12851378,12829668,26.1412,-80.1464
"Fort Leonard Wood, Missouri",11702,11494,37.7562,-92.1274
"Fort Myers, Florida",4806771,4792912,26.6194,-81.8302
"Fort Smith, Arkansas",58303,56637,35.3495,-94.3695
"Fort Wayne, Indiana",392834,392383,41.0888,-85.1436
"Fort Yukon, Alaska",5506,5632,66.5715,-145.25
"Fresno, California",1039243,1041699,36.783,-119.7939
"Friday Harbor, Washington",15478,15255,48.52496818,-123.0263351
"Gainesville, Florida",273194,267948,29.6804,-82.3459
"Galbraith Lake, Alaska",688,675,68.4794,-149.4904
"Galena, Alaska",11773,12068,64.73603615,-156.938013
"Gallup, New Mexico",2179,1965,35.5182,-108.7431
"Gambell, Alaska",3142,3101,63.7668,-171.7339
"Garden City, Kansas",27848,28340,37.9753,-100.8527
"Gary, Indiana",3847,2408,41.5905,-87.3473
"Gerlach, Nevada",124,457,40.65159638,-119.355331
"Gillette, Wyoming",26776,26714,44.2752,-105.4982
"Glasgow, Montana",2884,2730,48.212,-106.6144
"Glendive, Montana",2177,2036,47.1387,-104.8069
"Golovin, Alaska",1505,1467,64.543,-163.0297
"Goodnews Bay, Alaska",912,894,59.1274,-161.5772
"Grand Canyon, Arizona",27062,25519,35.96034393,-112.1350942
"Grand Forks, North Dakota",93735,92699,47.9214,-97.0884
"Grand Island, Nebraska",65091,66527,40.9218,-98.3586
"Grand Junction, Colorado",243717,239139,39.0877,-108.5673
"Grand Rapids, Michigan",1899233,1881195,42.9619,-85.6562
"Grayling, Alaska",358,372,62.89740624,-160.0659518
"Great Falls, Montana",177263,177970,47.5022,-111.2996
"Green Bay, Wisconsin",330298,327945,44.5148,-87.9895
"Greensboro/High Point, North Carolina",903476,899004,36.0956,-79.8271
"Greenville, Mississippi",7516,7018,33.385,-91.0514
"Greenville, North Carolina",34628,35782,35.5943,-77.376
"Greer, South Carolina",1258495,1242143,34.933,-82.2313
"Gulfport/Biloxi, Mississippi",375577,371484,30.4274,-89.0704
"Gulkana, Alaska",303,362,62.1549,-145.457
"Gunnison, Colorado",49490,49036,38.54555111,-106.9256774
"Gustavus, Alaska",9580,9096,58.4253,-135.707
"Hagerstown, Maryland",32320,32520,39.6401,-77.7217
"Haines, Alaska",6306,6494,59.2438,-135.5244
"Hana, Hawaii",2085,2272,20.7956,-156.0144
"Hancock/Houghton, Michigan",23353,23424,47.16872615,-88.494192
"Harlingen/San Benito, Texas",493219,439572,26.1916,-97.6977
"Harrisburg, Pennsylvania",654186,648569,40.2752,-76.8843
"Harrison, Arkansas",4556,4415,36.2438,-93.1198
"Hartford, Connecticut",2909705,2907091,41.7661,-72.6834
"Hattiesburg/Laurel, Mississippi",12351,11777,31.3074,-89.317
"Havre, Montana",2964,2820,48.5427,-109.6804
"Hawthorne, California",4955,4863,33.9147,-118.3476
"Hayden, Colorado",206195,204037,40.4812,-107.2187
"Hays, Kansas",9488,8513,38.8821,-99.3221
"Healy, Alaska",1656,1648,63.86734091,-148.968893
"Helena, Montana",88308,87892,46.5965,-112.0202
"Hibbing, Minnesota",11775,11655,47.398,-92.9486
"Hickory, North Carolina",898,619,35.741,-81.3223
"Hilo, Hawaii",684175,689506,19.6883,-155.0863
"Hilton Head, South Carolina",103686,105888,32.2250291,-80.69720772
"Hobbs, New Mexico",22187,22092,32.7281,-103.16
"Holy Cross, Alaska",364,404,62.19263011,-159.7719651
"Homer, Alaska",34688,30893,59.6456,-151.4764
"Honolulu, Hawaii",8554812,8514095,21.3294,-157.846
"Hoolehua, Hawaii",85341,84736,21.16717923,-157.0676865
"Hoonah, Alaska",5790,6034,58.0960046,-135.4106334
"Hooper Bay, Alaska",4323,4382,61.52125786,-166.1429722
"Hopkinsville, Kentucky",221,508,36.8381,-87.4775
"Hot Springs, Arkansas",3721,3710,34.4892,-93.0501
"Houston, Texas",22757307,22769832,29.786,-95.3885
"Hughes, Alaska",1050,1095,66.0411,-154.263
"Huntsville, Alabama",723751,722002,34.6981,-86.6412
"Huslia, Alaska",3304,3370,65.69476073,-156.3607512
"Hyannis, Massachusetts",17166,17976,41.6693,-70.2803
"Idaho Falls, Idaho",270131,267643,43.4871,-112.0362
"Igiugig, Alaska",244,235,59.324,-155.8948
"Iliamna, Alaska",3954,3684,59.7544,-154.9108
"Indianapolis, Indiana",4744197,4766192,39.7771,-86.1458
"International Falls, Minnesota",13238,12991,48.56888814,-93.39903822
"Iron Mountain/Kingsfd, Michigan",17955,18492,45.81514658,-88.11863428
"Ironwood, Michigan",7042,6651,46.52525716,-90.13476944
"Islip, New York",640858,639518,40.7385,-73.1888
"Ithaca/Cortland, New York",60775,59142,42.4442,-76.5032
"Jackson, Tennessee",3245,3070,35.6538,-88.8354
"Jackson, Wyoming",494652,492677,43.472,-110.7746
"Jackson/Vicksburg, Mississippi",627274,624607,32.3157,-90.2125
"Jacksonville, Florida",3584060,3581758,30.3322,-81.6749
"Jacksonville/Camp Lejeune, North Carolina",133035,135278,34.7289,-77.3941
"Jamestown, North Dakota",10463,10787,46.9063,-98.6937
"Johnstown, Pennsylvania",14250,13738,40.326,-78.9194
"Jonesboro, Arkansas",2188,2029,35.8212,-90.6791
"Joplin, Missouri",14270,13028,37.0757,-94.5018
"Juneau, Alaska",356438,360310,58.4546,-134.1739
"Kahului, Hawaii",3592010,3581642,20.8715,-156.4603
"Kake, Alaska",3605,3688,56.9643305,-133.9165699
"Kalamazoo, Michigan",87611,84328,42.2749,-85.5882
"Kalaupapa, Hawaii",3085,5270,21.20977363,-156.9748506
"Kalispell, Montana",456142,447721,48.2153,-114.3274
"Kalskag, Alaska",1823,1835,61.53746947,-160.3367366
"Kaltag, Alaska",1584,1609,64.3211577,-158.7362437
"Kamuela, Hawaii",3598,3568,19.99895197,-155.6737171
"Kansas City, Missouri",5603251,5618653,39.1238,-94.5541
"Kapalua, Hawaii",3683,3484,20.9629,-156.673
"Karluk, Alaska",293,252,57.56577633,-154.4515605
"Kasigluk, Alaska",3391,3032,60.8733,-162.524
"Katmai Lodge, Alaska",226,245,58.015,-157.5808
"Kearney, Nebraska",14684,14644,40.7011,-99.0833
"Kenai, Alaska",66949,63913,60.56664279,-151.245358
"Kenmore, Washington",5642,6119,47.7516,-122.2489
"Ketchikan, Alaska",154201,153789,55.35476499,-131.7122988
"Key West, Florida",675349,665852,24.5642,-81.7775
"Kiana, Alaska",2759,2681,66.9759,-160.436
"Killeen, Texas",93618,90926,31.0753,-97.7297
"King Cove, Alaska",568,628,55.1172,-162.2664
"King Salmon, Alaska",37940,37092,58.6768,-156.6492
"Kipnuk, Alaska",4470,4414,59.93580382,-164.0276662
"Kirksville, Missouri",4281,3898,40.1986,-92.5752
"Kivalina, Alaska",3003,3049,67.731,-164.5508
"Klawock, Alaska",16733,17338,55.58201189,-133.0740814
"Knoxville, Tennessee",1382073,1380133,35.9692,-83.9496
"Kobuk, Alaska",965,951,66.9126595,-156.8841032
"Kodiak Island, Alaska",1356,1502,57.80720097,-152.3737055
"Kodiak, Alaska",85183,85039,57.7559302,-152.5148742
"Kokhanok, Alaska",1631,1711,59.4328,-154.8083
"Koliganek, Alaska",908,920,59.73233267,-157.2657572
"Kona, Hawaii",2055155,2049746,19.73714825,-156.0428602
"Kongiganak, Alaska",2736,2729,59.961285,-162.881134
"Kotlik, Alaska",2584,2542,63.0306,-163.5533
"Kotzebue, Alaska",60124,60531,66.8847,-162.5986
"Koyuk, Alaska",1547,1643,64.9311,-161.1572
"Koyukuk, Alaska",792,815,64.87686782,-157.7176465
"Kulik Lake, Alaska",837,845,58.96583355,-155.1101458
"Kwethluk, Alaska",2619,2388,60.79367108,-161.4417746
"Kwigillingok, Alaska",2241,2285,59.87594947,-163.1681233
"La Crosse, Wisconsin",42635,42346,43.8241,-91.2268
"Lafayette, Indiana",2231,2422,40.3991,-86.8593
"Lafayette, Louisiana",229797,227491,30.2082,-92.0325
"Lake Charles, Louisiana",82838,81981,30.201,-93.2111
"Lake Minchumina, Alaska",192,199,63.88538498,-152.3028595
"Lakeland, Florida",202,201,28.0557,-81.9545
"Lanai, Hawaii",34430,35806,20.79076692,-156.9499025
"Lancaster, Pennsylvania",6230,6343,40.042,-76.3012
"Lansing, Michigan",106844,103301,42.7142,-84.5601
"Laramie, Wyoming",18092,16624,41.3099,-105.6085
"Laredo, Texas",125962,124738,27.5625,-99.4874
"Larsen Bay, Alaska",2891,2947,57.53558261,-153.9754674
"Las Cruces, New Mexico",1577,1989,32.3265,-106.7893
"Las Vegas, Nevada",26216202,26264085,36.2333,-115.2654
"Latrobe, Pennsylvania",76843,77444,40.2759,-79.4048
"Lawton/Fort Sill, Oklahoma",45182,45734,34.6175,-98.4202
"Lebanon-Hanover, New Hampshire",10683,10068,43.6261,-72.3045
"Levelock, Alaska",218,215,59.1285,-156.8588
"Lewisburg, West Virginia",8290,8218,37.85744451,-80.40421684
"Lewiston, Idaho",36745,38997,46.3934,-116.9933
"Lexington, Kentucky",665252,664301,38.0423,-84.4587
"Liberal, Kansas",8267,8207,37.0466,-100.9295
"Lihue, Hawaii",1799784,1799055,21.9721,-159.3564
"Lincoln, Nebraska",131682,132411,40.8099,-96.6784
"Little Rock, Arkansas",1096748,1092009,34.7256,-92.3577
"Llano, Texas",304,223,30.7849,-98.6607
"Logan, Utah",1766,1856,41.7399,-111.8422
"Long Beach, California",1836026,1840458,33.7977,-118.167
"Longview, Texas",32545,30306,32.5193,-94.7622
"Lopez Island, Washington",774,775,48.48665907,-122.936169
"Los Angeles, California",26090135,26062681,34.1141,-118.4068
"Louisville, Kentucky",2267348,2285058,38.1663,-85.6485
"Lubbock, Texas",543242,540136,33.5657,-101.8879
"Lynchburg, Virginia",74712,72510,37.4003,-79.1909
"Macon, Georgia",15815,15598,32.8065,-83.6974
"Madison, Wisconsin",1037760,1034975,43.0822,-89.393
"Mammoth Lakes, California",3861,3883,37.64719,-118.967453
"Manchester, New Hampshire",644622,642640,42.9848,-71.4447
"Manhattan/Ft. Riley, Kansas",51277,51757,39.1886,-96.6048
"Manistee/Ludington, Michigan",6021,5851,44.27974891,-86.25565689
"Manokotak, Alaska",1465,1417,58.93562993,-158.8963418
"Marion/Herrin, Illinois",10483,9832,37.7345,-88.942
"Marquette, Michigan",42651,41231,46.544,-87.4082
"Marshall, Alaska",2520,2596,61.8649,-162.0265
"Martha's Vineyard, Massachusetts",82411,82933,41.3933,-70.6143
"Mason City, Iowa",5780,5869,43.1487,-93.1997
"Massena, New York",4954,5100,44.9609,-74.8339
"Mattoon/Charleston, Illinois",235,235,39.4774,-88.3623
"McCarthy, Alaska",122,116,61.43781463,-142.9027849
"McCook, Nebraska",2326,2356,40.20969878,-100.5967438
"McGrath, Alaska",2570,2560,62.9525,-155.6062
"Medford, Oregon",478027,477317,42.3372,-122.854
"Mekoryuk, Alaska",1182,1184,60.371,-166.27
"Melbourne, Florida",249286,246452,28.1086,-80.6627
"Memphis, Tennessee",2397106,2406539,35.1087,-89.9663
"Merced, California",3794,3603,37.3057,-120.4779
"Meridian, Mississippi",15513,16839,32.3846,-88.6896
"Metlakatla, Alaska",493,542,55.1264,-131.5764
"Miami, Florida",13444541,13450169,25.784,-80.2101
"Midland/Odessa, Texas",684271,670559,32.0243,-102.1147
"Milwaukee, Wisconsin",2930659,2923859,43.0642,-87.9675
"Minneapolis, Minnesota",15521360,15561074,44.9635,-93.2678
"Minot, North Dakota",146678,147353,48.2375,-101.278
"Minto, Alaska",184,213,49.2757428,-97.55975397
"Mission/McAllen/Edinburg, Texas",511551,442076,26.2039,-98.3256
"Missoula, Montana",458300,454147,46.8751,-114.0214
"Moab, Utah",19289,19487,38.76149689,-109.7448835
"Mobile, Alabama",285767,286500,30.6782,-88.1162
"Moline, Illinois",272391,267688,41.4821,-90.492
"Monroe, Louisiana",96953,92377,32.5185,-92.0774
"Monterey, California",259495,259936,36.5919,-121.8808
"Montgomery, Alabama",181797,179002,32.3482,-86.2668
"Montrose/Delta, Colorado",244158,239314,38.4689,-107.859
"Monument Valley, Utah",444,470,37.0049,-110.2023
"Morgantown, West Virginia",6825,7067,39.6383,-79.9464
"Morristown, New Jersey",652,431,40.7967,-74.4772
"Mosinee, Wisconsin",84769,82631,44.7853,-89.7034
"Mountain View, California",160,190,37.4001,-122.0796
"Mountain Village, Alaska",3074,3043,62.09511192,-163.6822364
"Muscle Shoals, Alabama",5907,5624,34.7432,-87.6343
"Muskegon, Michigan",4488,4503,43.2281,-86.2562
"Myrtle Beach, South Carolina",1658946,1650972,33.7094,-78.8844
"Nantucket, Massachusetts",135520,136165,41.2831,-70.0692
"Nanwalek, Alaska",2065,2721,59.3521,-151.9208
"Napa, California",186,137,38.2975,-122.301
"Napakiak, Alaska",1513,1144,60.7017,-161.9797
"Napaskiak, Alaska",1117,921,60.70511222,-161.7757498
"Naples, Florida",197,183,26.1504,-81.7936
"Nashville, Tennessee",11023556,11066075,36.1715,-86.7842
"New Bedford/Fall River, Massachusetts",1676,1522,41.6697,-70.9428
"New Bern/Morehead/Beaufort, North Carolina",59136,61021,35.0955,-77.0723
"New Haven, Connecticut",488083,486955,41.3113,-72.9246
"New Orleans, Louisiana",6189791,6190420,30.0687,-89.9288
"New Stuyahok, Alaska",1763,1731,59.45208529,-157.3736961
"New York, New York",28833259,29130145,40.6943,-73.9249
"Newark, New Jersey",16848084,16902008,40.7245,-74.1725
"Newburgh/Poughkeepsie, New York",77283,77840,41.5531,-74.0599
"Newport News/Williamsburg, Virginia",69401,69776,37.1051,-76.5185
"Newport, Rhode Island",428,412,41.4801,-71.3203
"Newtok, Alaska",1696,1677,60.9391,-164.641
"Niagara Falls, New York",52596,52303,43.0921,-79.0147
"Nightmute, Alaska",1225,1241,60.471,-164.7
"Nikolai, Alaska",1079,1109,63.01763679,-154.362137
"Nikolski, Alaska",148,150,52.9417,-168.8481
"Noatak, Alaska",3698,3674,67.56653264,-162.9748721
"Nome, Alaska",66307,65836,64.51324011,-165.4513302
"Nondalton, Alaska",492,546,59.98133406,-154.8380816
"Noorvik, Alaska",3410,3350,66.8281,-161.0144
"Norfolk, Virginia",2307505,2306098,36.8945,-76.259
"North Bend/Coos Bay, Oregon",19522,20008,43.4075,-124.2364
"North Platte, Nebraska",14362,14030,41.1263,-100.7641
"Norwood, Massachusetts",235,252,42.1861,-71.1948
"Nuiqsut, Alaska",2355,2452,70.21054663,-151.0007971
"Nulato, Alaska",2408,2428,64.73059604,-158.0717282
"Nunapitchuk, Alaska",2845,2703,60.90598523,-162.4405047
"Oakland, California",5263628,5270180,37.7904,-122.2166
"Ogden, Utah",465,147,41.2279,-111.9682
"Ogdensburg, New York",5792,5758,44.7088,-75.4717
"Oklahoma City, Oklahoma",2133873,2133509,35.4676,-97.5136
"Old Harbor, Alaska",2196,2175,57.22225674,-153.2708624
"Olga Bay, Alaska",123,124,57.161499,-154.2299957
"Omaha, Nebraska",2464170,2470961,41.2627,-96.0529
"Ontario, California",2971397,2969684,34.0393,-117.6064
"Orlando, Florida",23313752,23456320,28.4773,-81.337
"Ouzinkie, Alaska",1190,1198,57.9221,-152.5002
"Owensboro, Kentucky",10818,10594,37.7575,-87.1172
"Pack Creek, Alaska",312,318,57.8358,-134.8776
"Paducah, Kentucky",13032,12857,37.0711,-88.644
"Page, Arizona",12970,15241,36.92452314,-111.4511671
"Palm Springs, California",1426980,1416142,33.8017,-116.5382
"Panama City, Florida",816656,814939,30.1995,-85.6003
"Parkersburg, West Virginia",4377,3432,39.2623,-81.542
"Pasco/Kennewick/Richland, Washington",438068,434317,46.2506,-119.1305
"Peach Springs, Arizona",9866,9813,35.571681,-113.2929567
"Pedro Bay, Alaska",114,124,59.7897,-154.1061
"Pelican, Alaska",1227,1209,57.955,-136.2281
"Pellston, Michigan",22221,22371,45.57163297,-84.78619413
"Pendleton, Oregon",5544,5177,45.6757,-118.8201
"Pensacola, Florida",1365908,1359949,30.4413,-87.1911
